label,prob,seg
1,0.97890043,a01_100
1,0.9613254,a01_101
1,0.98424083,a01_102
1,0.9723651,a01_103
1,0.96149176,a01_104
1,0.9792906,a01_105
1,0.9785977,a01_106
1,0.9696684,a01_107
1,0.97291327,a01_108
1,0.969922,a01_109
1,0.9855084,a01_110
1,0.96756864,a01_111
1,0.9732189,a01_112
1,0.97901297,a01_113
1,0.9734306,a01_114
1,0.98535466,a01_115
1,0.9574209,a01_116
1,0.9751881,a01_117
1,0.9801467,a01_118
1,0.98167235,a01_119
1,0.9851245,a01_120
1,0.9472671,a01_121
1,0.97384983,a01_122
1,0.98687965,a01_123
1,0.9622199,a01_124
1,0.985778,a01_125
1,0.78512657,a01_126
1,0.9695091,a01_127
1,0.9655524,a01_128
1,0.9739217,a01_129
1,0.9690174,a01_13
1,0.9746523,a01_130
1,0.97648925,a01_131
1,0.9810408,a01_132
1,0.97191185,a01_133
1,0.9865283,a01_134
1,0.9639685,a01_135
1,0.9722969,a01_136
1,0.9520954,a01_137
1,0.971482,a01_138
1,0.9734396,a01_139
1,0.9581438,a01_14
1,0.96931756,a01_140
1,0.98377925,a01_141
1,0.9700282,a01_142
1,0.95975214,a01_143
1,0.98142093,a01_144
1,0.9852941,a01_145
1,0.98512286,a01_146
1,0.9837623,a01_147
1,0.9533174,a01_148
1,0.981561,a01_149
1,0.9286711,a01_15
1,0.97107995,a01_150
1,0.9146316,a01_151
1,0.97700113,a01_152
1,0.9845546,a01_153
1,0.98470587,a01_154
1,0.98080885,a01_155
1,0.97813445,a01_156
1,0.95080703,a01_157
1,0.9832676,a01_158
1,0.76257926,a01_159
1,0.96245295,a01_16
1,0.9777763,a01_160
1,0.9807247,a01_161
1,0.97811663,a01_162
1,0.97112423,a01_163
1,0.9766401,a01_164
1,0.97938675,a01_165
1,0.98850036,a01_166
1,0.9823904,a01_167
1,0.98697865,a01_168
1,0.98155147,a01_169
1,0.947761,a01_17
1,0.98340315,a01_170
1,0.98533756,a01_171
1,0.9759556,a01_172
1,0.98872924,a01_173
1,0.979768,a01_174
1,0.98248243,a01_175
1,0.9800458,a01_176
1,0.9818764,a01_177
1,0.9734298,a01_178
1,0.9747679,a01_179
1,0.98168117,a01_18
1,0.97762656,a01_180
1,0.9854554,a01_181
